plaqueId	category	key	value
107-wellington-street-west-1889	details	title	107 Wellington Street West 1889
107-wellington-street-west-1889	details	text	The oldest private club building in Ontario, 107 Wellington Street West was designed for the Toronto Club in 1888-89 by Frank Darling and Samuel Curry. Its design mixes different architectural styles and marks an important transition in Darling's career. The sandstone base, terracotta details, windows and capitals on the ground floor reflect the Richardsonian Romanesque Style. The second floor's Palladian-like windows, pilasters and capitals, frieze, cornice mouldings and the nearly-square attic windows are in the Renaissance Revival Style. The interior contains a billiards room, reading rooms, and dining rooms finished with wood paneling and carvings, stone and marble fireplaces, and plaster ceilings.
107-wellington-street-west-1889	location	region	Greater Toronto Area
107-wellington-street-west-1889	location	county	City of Toronto (District)
107-wellington-street-west-1889	location	municipality	City of Toronto
107-wellington-street-west-1889	location	address	In the lobby of 95 Wellington Street West, Toronto
107-wellington-street-west-1889	themes	theme	Buildings and structures
107-wellington-street-west-1889	themes	theme	Organizations
abel-stevens	details	title	Abel Stevens
abel-stevens	details	text	Within two years of moving to Upper Canada from Vermont and settling in Leeds County in 1796, Stevens (c.1750-c.1826) had encouraged some 100 loyalist families to locate in Kitley and Bastard Townships. He built mills at several sites along the Gananoque River and was involved in the establishment of an ironworks at present-day Lyndhurst.
abel-stevens	location	region	Eastern Ontario
abel-stevens	location	county	United Counties of Leeds and Grenville
abel-stevens	location	municipality	Township of Elizabethtown-Kitley
abel-stevens	location	address	At the cemetery at Bellamy's Lake within the lands he helped to settle, west of Toledo - County Road 8, west of Highway 29
abel-stevens	themes	theme	Communities
abel-stevens	themes	theme	Industry and trade
abel-stevens	themes	theme	People
abel-stevens	themes	theme	War and conflict
abraham-erb-1772-1830	details	title	Abraham Erb 1772-1830
abraham-erb-1772-1830	details	text	A younger brother of John Erb, the founder of Preston, Abraham Erb settled here in 1806 on a 900-acre tract of bushland. The grist-mill he built 10 years later became the business and social centre of the community of Waterloo.
abraham-erb-1772-1830	location	region	Southwestern Ontario
abraham-erb-1772-1830	location	county	Regional Municipality of Waterloo
abraham-erb-1772-1830	location	municipality	City of Waterloo
abraham-erb-1772-1830	location	address	In Waterloo Park, Young Street West, Waterloo
abraham-erb-1772-1830	themes	theme	Communities
abraham-erb-1772-1830	themes	theme	Industry and trade
abraham-erb-1772-1830	themes	theme	People
acting-sergeant-john-rennie-gc-1919-1943	details	title	Acting Sergeant John Rennie, G.C. 1919-1943
acting-sergeant-john-rennie-gc-1919-1943	details	text	A member of The Argyll and Sutherland Highlanders of Canada, Rennie was posthumously awarded the George Cross for his instinctive, selfless action during a grenade-throwing exercise in October 1943. His quick response saved the lives of several of his comrades.
acting-sergeant-john-rennie-gc-1919-1943	location	region	Southwestern Ontario
acting-sergeant-john-rennie-gc-1919-1943	location	county	City of Hamilton (District)
acting-sergeant-john-rennie-gc-1919-1943	location	municipality	City of Hamilton
acting-sergeant-john-rennie-gc-1919-1943	location	address	At the armoury, 200 James Street North, Hamilton
acting-sergeant-john-rennie-gc-1919-1943	themes	theme	People
acting-sergeant-john-rennie-gc-1919-1943	themes	theme	War and conflict
acton	details	title	Acton
acton	details	text	Acton grew from business generated by local mills but the tanning industry later became the town's mainstay. By the mid-1870s, the Nelles tannery was producing up to 20,000 sides of leather annually.
acton	location	region	Greater Toronto Area
acton	location	county	Regional Municipality of Halton
acton	location	municipality	Town of Halton Hills
acton	location	address	In front of the public library, 17 River Street, Acton
acton	themes	theme	Communities
acton	themes	theme	Industry and trade
addington-road	details	title	Addington Road, The
addington-road	details	text	Extending northward to meet the Peterson Road, the Addington Road was part of a network of government roads built to encourage settlement in the southern region of the Precambrian Shield. It was built in two stages in 1854-57 and 1863-64.
addington-road	location	region	Eastern Ontario
addington-road	location	county	County of Lennox and Addington
addington-road	location	municipality	Township of Addington Highlands
